source,target,weight
Nintendo,Magix,1
Nintendo,Midas Interactive Entertainment,11
Nintendo,Mastiff,5
Nintendo,Virgin Interactive,12
Nintendo,SNK,1
Nintendo,Blast! Entertainment Ltd,3
Nintendo,Irem Software Engineering,6
Nintendo,Xseed Games,3
Nintendo,GSP,4
Nintendo,Empire Interactive,10
Nintendo,ValuSoft,3
Nintendo,Ackkstudios,5
Nintendo,Insomniac Games,1
Nintendo,Codemasters,10
Nintendo,Kokopeli Digital Studios,1
Nintendo,TechnoSoft,1
Nintendo,King Records,1
Nintendo,Edia,1
Nintendo,Ghostlight,4
Nintendo,Milestone S.r.l.,1
Nintendo,Vatical Entertainment,1
Nintendo,Marvelous Interactive,7
Nintendo,Vivendi Games,12
Nintendo,LucasArts,7
Nintendo,Capcom,12
Nintendo,Gamebridge,1
Nintendo,HAL Laboratory,1
Nintendo,Russel,3
Nintendo,Culture Brain,4
Nintendo,Societa,1
Nintendo,Namco Bandai Games,12
Nintendo,Mud Duck Productions,2
Nintendo,Tivola,1
Nintendo,FunSoft,1
Nintendo,"mixi, Inc",1
Nintendo,Xing Entertainment,1
Nintendo,Strategy First,1
Nintendo,Encore,3
Nintendo,IE Institute,2
Nintendo,Number None,1
Nintendo,Agatsuma Entertainment,3
Nintendo,Valve Software,1
Nintendo,Tigervision,1
Nintendo,RED Entertainment,1
Nintendo,Falcom Corporation,2
Nintendo,Activision Value,5
Nintendo,Avanquest Software,3
Nintendo,Microids,3
Nintendo,THQ,12
Nintendo,Abylight,1
Nintendo,Nordic Games,8
Nintendo,Marvel Entertainment,1
Nintendo,CPG Products,1
Nintendo,Asylum Entertainment,3
Nintendo,Sting,1
Nintendo,Oxygen Interactive,6
Nintendo,Gust,3
Nintendo,Kando Games,1
Nintendo,Warashi,1
Nintendo,System Soft,2
Nintendo,Giga,1
Nintendo,HuneX,2
Nintendo,Syscom,2
Nintendo,Destineer,9
Nintendo,Vap,1
Nintendo,Nippon Amuse,1
Nintendo,Daedalic Entertainment,1
Nintendo,Giza10,1
Nintendo,MediaQuest,1
Nintendo,Alternative Software,2
Nintendo,Gotham Games,4
Nintendo,Flashpoint Games,2
Nintendo,UIG Entertainment,1
Nintendo,Indie Games,2
Nintendo,Zushi Games,10
Nintendo,GungHo,4
Nintendo,Quinrose,2
