source,target,weight
Nintendo,FuRyu Corporation,1
Nintendo,Tryfirst,1
Nintendo,Human Entertainment,6
Nintendo,TechnoSoft,1
Nintendo,Karin Entertainment,1
Nintendo,Havas Interactive,1
Nintendo,Xing Entertainment,1
Nintendo,Tommo,3
Nintendo,Origin Systems,1
Nintendo,Ertain,1
Nintendo,Core Design Ltd.,2
Nintendo,Xicat Interactive,3
Nintendo,ChunSoft,3
Nintendo,Warner Bros. Interactive Entertainment,9
Nintendo,Phoenix Games,1
Nintendo,Tivola,1
Nintendo,DHM Interactive,3
Nintendo,Sony Computer Entertainment Europe,6
Nintendo,Square,2
Nintendo,Nichibutsu,1
Nintendo,Tripwire Interactive,1
Nintendo,Play It,5
Nintendo,Asmik Ace Entertainment,3
Nintendo,Acclaim Entertainment,11
Nintendo,Mitsui,1
Nintendo,Square Enix,9
Nintendo,Maximum Family Games,1
Nintendo,Alternative Software,2
Nintendo,Microids,3
Nintendo,Starfish,4
Nintendo,Nippon Amuse,1
Nintendo,Data Design Interactive,3
Nintendo,Alvion,1
Nintendo,Sega,12
Nintendo,Creative Core,3
Nintendo,DreamWorks Interactive,1
Nintendo,The Learning Company,1
Nintendo,Sony Computer Entertainment,12
Nintendo,Game Factory,9
Nintendo,American Softworks,1
Nintendo,Pony Canyon,1
Nintendo,NCS,1
Nintendo,Jorudan,1
Nintendo,Hasbro Interactive,6
Nintendo,Extreme Entertainment Group,1
Nintendo,Sammy Corporation,4
Nintendo,Tecmo Koei,11
Nintendo,Jaleco,8
Nintendo,Culture Publishers,1
Nintendo,Naxat Soft,1
Nintendo,GOA,1
Nintendo,Marvelous Entertainment,5
Nintendo,PopTop Software,1
Nintendo,Warp,1
Nintendo,Giga,1
Nintendo,SCS Software,1
Nintendo,O3 Entertainment,3
Nintendo,The Adventure Company,2
Nintendo,Iceberg Interactive,2
Nintendo,HuneX,2
Nintendo,Simon & Schuster Interactive,1
Nintendo,Groove Games,1
Nintendo,Gotham Games,4
Nintendo,Ecole,1
Nintendo,GameTek,1
Nintendo,Yuke's,2
Nintendo,Just Flight,1
Nintendo,MLB.com,1
Nintendo,Pioneer LDC,2
Nintendo,Revolution Software,1
Nintendo,Stainless Games,1
Nintendo,Vir2L Studios,3
Nintendo,Valve,1
Nintendo,UFO Interactive,5
Nintendo,Warashi,1
Nintendo,Coleco,3
Nintendo,D3Publisher,12
Nintendo,Tomy Corporation,6
Nintendo,NCSoft,2
Nintendo,Tradewest,1
Nintendo,Virtual Play Games,2
Nintendo,Little Orbit,3
Nintendo,Easy Interactive,1
Nintendo,Daedalic Entertainment,1
Nintendo,Funcom,1
Nintendo,Telegames,4
Nintendo,System 3,1
Nintendo,Daedalic,1
Nintendo,Societa,1
Nintendo,Hearty Robin,1
Nintendo,Valve Software,1
Nintendo,System Soft,2
Nintendo,U.S. Gold,2
Nintendo,Marvelous Interactive,7
Nintendo,BPS,2
Nintendo,LucasArts,7
Nintendo,Telltale Games,2
Nintendo,Comfort,2
Nintendo,Grand Prix Games,1
Nintendo,Enterbrain,5
Nintendo,Misawa,1
Nintendo,Crave Entertainment,12
Nintendo,Milestone,1
Nintendo,Aqua Plus,5
Nintendo,Big Ben Interactive,5
Nintendo,Prototype,2
Nintendo,T&E Soft,1
Nintendo,Arc System Works,6
Nintendo,Happinet,3
Nintendo,inXile Entertainment,1
Nintendo,Phantagram,1
Nintendo,Bohemia Interactive,1
Nintendo,Ultravision,1
Nintendo,Funbox Media,4
Nintendo,Sears,1
Nintendo,Game Life,2
Nintendo,Data East,2
Nintendo,MTO,3
Nintendo,Sunrise Interactive,4
Nintendo,Rebellion Developments,1
Nintendo,Coconuts Japan,2
Nintendo,Takara,5
Nintendo,Gameloft,1
Nintendo,Griffin International,1
Nintendo,Locus,1
Nintendo,Commseed,1
Nintendo,King Records,1
Nintendo,RedOctane,1
Nintendo,Zoo Digital Publishing,11
Nintendo,Imagineer,6
Nintendo,Syscom,2
Nintendo,EON Digital Entertainment,1
Nintendo,Flashpoint Games,2
Nintendo,Devolver Digital,2
Nintendo,Masque Publishing,1
Nintendo,Slightly Mad Studios,1
Nintendo,Panther Software,1
